,electricity,heat
2016-01-01 00:00:00,-28832,-51141
2016-01-01 01:00:00,-28834,-50964
2016-01-01 02:00:00,-28833,-50015
2016-01-01 03:00:00,-28832,-50452
2016-01-01 04:00:00,-28829,-50324
2016-01-01 05:00:00,-28832,-51443
2016-01-01 06:00:00,-28827,-52134
2016-01-01 07:00:00,-28829,-51060
2016-01-01 08:00:00,-28827,-51268
2016-01-01 09:00:00,-28827,-49154
2016-01-01 10:00:00,-28824,-50084
2016-01-01 11:00:00,-28826,-50497
2016-01-01 12:00:00,-28825,-49547
2016-01-01 13:00:00,-28826,-50697
2016-01-01 14:00:00,-28829,-50913
2016-01-01 15:00:00,-28830,-49425
2016-01-01 16:00:00,-28833,-50583
2016-01-01 17:00:00,-28834,-49162
2016-01-01 18:00:00,-28836,-50516
2016-01-01 19:00:00,-28837,-50164
2016-01-01 20:00:00,-28838,-50452
2016-01-01 21:00:00,-28838,-49211
2016-01-01 22:00:00,-28836,-50002
2016-01-01 23:00:00,-28838,-50440
2016-01-02 00:00:00,-28838,-50009
2016-01-02 01:00:00,-28841,-50813
2016-01-02 02:00:00,-28838,-50950
2016-01-02 03:00:00,-28838,-50543
2016-01-02 04:00:00,-28782,-49927
2016-01-02 05:00:00,-28838,-50183
2016-01-02 06:00:00,-28842,-49878
2016-01-02 07:00:00,-28844,-49960
2016-01-02 08:00:00,-28847,-50891
2016-01-02 09:00:00,-28848,-50256
2016-01-02 10:00:00,-28849,-50561
2016-01-02 11:00:00,-28852,-50689
2016-01-02 12:00:00,-28852,-51080
2016-01-02 13:00:00,-28852,-50826
2016-01-02 14:00:00,-28850,-50040
2016-01-02 15:00:00,-28850,-50098
2016-01-02 16:00:00,-28846,-51097
2016-01-02 17:00:00,-28845,-50517
2016-01-02 18:00:00,-28843,-51072
2016-01-02 19:00:00,-28820,-50085
2016-01-02 20:00:00,-28833,-49814
2016-01-02 21:00:00,-28836,-50646
2016-01-02 22:00:00,-28835,-51222
2016-01-02 23:00:00,-28834,-50590
2016-01-03 00:00:00,-28837,-51550
2016-01-03 01:00:00,-28825,-51796
2016-01-03 02:00:00,-28835,-50785
2016-01-03 03:00:00,-28836,-51374
2016-01-03 04:00:00,-28842,-50883
2016-01-03 05:00:00,-28771,-51596
2016-01-03 06:00:00,-28847,-51199
2016-01-03 07:00:00,-28818,-50575
2016-01-03 08:00:00,-28846,-50559
2016-01-03 09:00:00,-28847,-50379
2016-01-03 10:00:00,-28850,-51602
2016-01-03 11:00:00,-28852,-50862
2016-01-03 12:00:00,-28849,-50422
2016-01-03 13:00:00,-28847,-51165
2016-01-03 14:00:00,-28848,-50275
2016-01-03 15:00:00,-28842,-50980
2016-01-03 16:00:00,-28845,-50337
2016-01-03 17:00:00,-28772,-52034
2016-01-03 18:00:00,-28732,-46365
2016-01-03 19:00:00,-28846,-49828
2016-01-03 20:00:00,-28841,-49867
2016-01-03 21:00:00,-28839,-49766
2016-01-03 22:00:00,-28845,-50609
2016-01-03 23:00:00,-28846,-51933
2016-01-04 00:00:00,-27936,-50475
2016-01-04 01:00:00,-27967,-43043
2016-01-04 02:00:00,-28545,-48667
2016-01-04 03:00:00,-28704,-49188
2016-01-04 04:00:00,-28743,-50696
2016-01-04 05:00:00,-28740,-50713
2016-01-04 06:00:00,-28740,-50748
2016-01-04 07:00:00,-28816,-50759
2016-01-04 08:00:00,-28829,-50264
2016-01-04 09:00:00,-28818,-51114
2016-01-04 10:00:00,-28828,-51558
2016-01-04 11:00:00,-28828,-50622
2016-01-04 12:00:00,-28832,-51185
2016-01-04 13:00:00,-28731,-50851
2016-01-04 14:00:00,-28773,-47578
2016-01-04 15:00:00,-28833,-51494
2016-01-04 16:00:00,-28838,-51675
2016-01-04 17:00:00,-28836,-50959
2016-01-04 18:00:00,-28839,-51364
2016-01-04 19:00:00,-28840,-52906
2016-01-04 20:00:00,-28839,-50744
2016-01-04 21:00:00,-28841,-50473
2016-01-04 22:00:00,-28842,-50719
2016-01-04 23:00:00,-28841,-50994
2016-01-05 00:00:00,-28841,-49846
2016-01-05 01:00:00,-28840,-50399
2016-01-05 02:00:00,-28840,-51360
2016-01-05 03:00:00,-28840,-51119
2016-01-05 04:00:00,-28840,-49868
2016-01-05 05:00:00,-28838,-50702
2016-01-05 06:00:00,-28837,-51787
2016-01-05 07:00:00,-28838,-51074
2016-01-05 08:00:00,-28841,-52213
2016-01-05 09:00:00,-28846,-51160
2016-01-05 10:00:00,-28849,-51127
2016-01-05 11:00:00,-28849,-50941
2016-01-05 12:00:00,-28849,-49672
2016-01-05 13:00:00,-25093,-51247
2016-01-05 14:00:00,-14572,-37681
2016-01-05 15:00:00,-14572,-30282
2016-01-05 16:00:00,-14572,-26412
2016-01-05 17:00:00,-23365,-26751
2016-01-05 18:00:00,-28821,-49412
2016-01-05 19:00:00,-28853,-51799
2016-01-05 20:00:00,-28851,-50010
2016-01-05 21:00:00,-26641,-51399
2016-01-05 22:00:00,-25541,-28238
2016-01-05 23:00:00,-28842,-51903
2016-01-06 00:00:00,-28842,-50142
2016-01-06 01:00:00,-28839,-50622
2016-01-06 02:00:00,-28842,-51134
2016-01-06 03:00:00,-28840,-50592
2016-01-06 04:00:00,-28841,-50594
2016-01-06 05:00:00,-28841,-52697
2016-01-06 06:00:00,-28839,-51447
2016-01-06 07:00:00,-28832,-51396
2016-01-06 08:00:00,-28545,-50494
2016-01-06 09:00:00,-26172,-41776
2016-01-06 10:00:00,-25383,-26307
2016-01-06 11:00:00,-25379,-26270
2016-01-06 12:00:00,-25380,-26358
2016-01-06 13:00:00,-25379,-26814
2016-01-06 14:00:00,-25379,-26203
2016-01-06 15:00:00,-25378,-26281
2016-01-06 16:00:00,-25380,-25940
2016-01-06 17:00:00,-25377,-26168
2016-01-06 18:00:00,-25442,-25986
2016-01-06 19:00:00,-26019,-31602
2016-01-06 20:00:00,-26340,-33646
2016-01-06 21:00:00,-27242,-35986
2016-01-06 22:00:00,-28724,-50011
2016-01-06 23:00:00,-28704,-54521
2016-01-07 00:00:00,-28694,-50692
2016-01-07 01:00:00,-28659,-51917
2016-01-07 02:00:00,-28657,-53327
2016-01-07 03:00:00,-28589,-51339
2016-01-07 04:00:00,-28624,-49460
2016-01-07 05:00:00,-28658,-50258
2016-01-07 06:00:00,-28656,-48988
2016-01-07 07:00:00,-28727,-51395
2016-01-07 08:00:00,-28717,-51920
2016-01-07 09:00:00,-28733,-50748
2016-01-07 10:00:00,-28734,-51161
2016-01-07 11:00:00,-28461,-49070
2016-01-07 12:00:00,-28115,-48566
2016-01-07 13:00:00,-28663,-49940
2016-01-07 14:00:00,-28590,-48899
2016-01-07 15:00:00,-28684,-49383
2016-01-07 16:00:00,-28780,-51161
2016-01-07 17:00:00,-28832,-50620
2016-01-07 18:00:00,-28837,-51733
2016-01-07 19:00:00,-28838,-50831
2016-01-07 20:00:00,-28837,-51359
2016-01-07 21:00:00,-28838,-51056
2016-01-07 22:00:00,-28836,-49514
2016-01-07 23:00:00,-28564,-49932
2016-01-08 00:00:00,-28837,-51244
2016-01-08 01:00:00,-28838,-51162
2016-01-08 02:00:00,-28842,-51282
2016-01-08 03:00:00,-28819,-51292
2016-01-08 04:00:00,-28745,-51092
2016-01-08 05:00:00,-28772,-50867
2016-01-08 06:00:00,-28774,-51770
2016-01-08 07:00:00,-28772,-52656
2016-01-08 08:00:00,-28775,-51248
2016-01-08 09:00:00,-28739,-51139
2016-01-08 10:00:00,-28724,-51926
2016-01-08 11:00:00,-28756,-50503
2016-01-08 12:00:00,-28772,-49571
2016-01-08 13:00:00,-28773,-50953
2016-01-08 14:00:00,-28768,-49825
2016-01-08 15:00:00,-28766,-50339
2016-01-08 16:00:00,-28764,-51346
2016-01-08 17:00:00,-28766,-51195
2016-01-08 18:00:00,-28764,-49926
2016-01-08 19:00:00,-28761,-50883
2016-01-08 20:00:00,-28758,-50762
2016-01-08 21:00:00,-28757,-50408
2016-01-08 22:00:00,-28756,-49993
2016-01-08 23:00:00,-28757,-50988
2016-01-09 00:00:00,-28758,-50645
2016-01-09 01:00:00,-28758,-51006
2016-01-09 02:00:00,-28758,-50789
2016-01-09 03:00:00,-28759,-50506
2016-01-09 04:00:00,-28744,-48862
2016-01-09 05:00:00,-28759,-50843
2016-01-09 06:00:00,-28753,-50616
2016-01-09 07:00:00,-28752,-49215
2016-01-09 08:00:00,-28715,-51049
2016-01-09 09:00:00,-26833,-46548
2016-01-09 10:00:00,-27249,-34708
2016-01-09 11:00:00,-26810,-35893
2016-01-09 12:00:00,-26811,-35378
2016-01-09 13:00:00,-27591,-35419
2016-01-09 14:00:00,-28613,-48386
2016-01-09 15:00:00,-28803,-50001
2016-01-09 16:00:00,-28732,-51158
2016-01-09 17:00:00,-28698,-49795
2016-01-09 18:00:00,-28705,-49806
2016-01-09 19:00:00,-28766,-49125
2016-01-09 20:00:00,-28772,-51075
2016-01-09 21:00:00,-28761,-50046
2016-01-09 22:00:00,-28764,-49668
2016-01-09 23:00:00,-28766,-49483
2016-01-10 00:00:00,-28752,-50776
2016-01-10 01:00:00,-28771,-49801
2016-01-10 02:00:00,-28765,-50258
2016-01-10 03:00:00,-28767,-51371
2016-01-10 04:00:00,-28768,-50829
2016-01-10 05:00:00,-28774,-53148
2016-01-10 06:00:00,-28768,-50625
2016-01-10 07:00:00,-28756,-50142
2016-01-10 08:00:00,-28751,-49547
2016-01-10 09:00:00,-28753,-50850
2016-01-10 10:00:00,-28754,-51007
2016-01-10 11:00:00,-28753,-50162
2016-01-10 12:00:00,-28753,-50795
2016-01-10 13:00:00,-28755,-49624
2016-01-10 14:00:00,-28756,-49869
2016-01-10 15:00:00,-28756,-51281
2016-01-10 16:00:00,-28754,-51697
2016-01-10 17:00:00,-28755,-50985
2016-01-10 18:00:00,-28758,-50393
2016-01-10 19:00:00,-28759,-50927
2016-01-10 20:00:00,-28389,-50555
2016-01-10 21:00:00,-27027,-37094
